trait_name,trait_unit,number_of_species,number_of_observations
Conduit element length,μm,"34,957","803,655"
Dispersal unit length,mm,"35,990","811,155"
LDMC,g g⁻¹,"33,122","808,923"
Leaf C,mg g⁻¹,"33,905","803,050"
Leaf C/N ratio,g g⁻¹,"33,564","806,531"
Leaf N (area),g m⁻²,"31,214","811,494"
Leaf N (mass),mg g⁻¹,"33,858","808,332"
Leaf P,mg g⁻¹,"33,634","807,846"
Leaf area,mm²,"33,435","812,583"
Leaf delta 15N,ppm,"34,484","805,544"
Leaf dry mass,g,"32,795","816,176"
Leaf fresh mass,g,"32,972","814,395"
Leaf length,mm,"34,658","807,966"
Leaf thickness,mm,"33,666","807,278"
Leaf water content,g g⁻¹,"32,752","810,099"
Leaf width,mm,"34,171","808,376"
Plant height,m,"34,592","798,391"
Rooting depth,m,"34,060","813,433"
SLA,m² kg⁻¹,"31,524","811,952"
SRL,cm g⁻¹,"35,154","812,880"
SRL (fine),cm g⁻¹,"35,092","810,168"
SSD,g cm⁻³,"36,208","796,733"
Seed germination rate,days,"35,386","797,266"
Seed length,mm,"37,062","813,911"
Seed mass,mg,"39,187","810,023"
Seed number,-,"34,063","812,032"
Stem conduit density,mm⁻²,"34,539","805,450"
Stem conduit diameter,μm,"34,893","801,594"
Stem diameter,m,"35,175","794,485"
Wood fiber lengths,μm,"34,543","803,688"
Wood ray density,mm⁻¹,"35,054","806,657"
