trait_name,species (before),species (after),observations (before),observations (after)
Conduit element length,"53,025","34,957 (65.9%)","927,121","803,655 (86.7%)"
Dispersal unit length,"55,300","35,990 (65.1%)","933,493","811,155 (86.9%)"
LDMC,"49,903","33,122 (66.4%)","928,363","808,923 (87.1%)"
Leaf C,"51,616","33,905 (65.7%)","926,093","803,050 (86.7%)"
Leaf C/N ratio,"50,612","33,564 (66.3%)","926,069","806,531 (87.1%)"
Leaf N (area),"46,127","31,214 (67.7%)","930,895","811,494 (87.2%)"
Leaf N (mass),"51,115","33,858 (66.2%)","926,399","808,332 (87.3%)"
Leaf P,"51,343","33,634 (65.5%)","929,944","807,846 (86.9%)"
Leaf area,"49,668","33,435 (67.3%)","930,573","812,583 (87.3%)"
Leaf delta 15N,"52,760","34,484 (65.4%)","927,482","805,544 (86.9%)"
Leaf dry mass,"48,121","32,795 (68.2%)","933,805","816,176 (87.4%)"
Leaf fresh mass,"48,387","32,972 (68.1%)","932,088","814,395 (87.4%)"
Leaf length,"52,657","34,658 (65.8%)","930,467","807,966 (86.8%)"
Leaf thickness,"50,749","33,666 (66.3%)","927,686","807,278 (87.0%)"
Leaf water content,"49,037","32,752 (66.8%)","928,445","810,099 (87.3%)"
Leaf width,"51,352","34,171 (66.5%)","928,809","808,376 (87.0%)"
Plant height,"53,370","34,592 (64.8%)","915,844","798,391 (87.2%)"
Rooting depth,"51,725","34,060 (65.8%)","936,725","813,433 (86.8%)"
SLA,"46,596","31,524 (67.7%)","930,708","811,952 (87.2%)"
SRL,"53,612","35,154 (65.6%)","937,029","812,880 (86.8%)"
SRL (fine),"53,459","35,092 (65.6%)","932,919","810,168 (86.8%)"
SSD,"55,849","36,208 (64.8%)","925,431","796,733 (86.1%)"
Seed germination rate,"54,380","35,386 (65.1%)","920,859","797,266 (86.6%)"
Seed length,"57,361","37,062 (64.6%)","935,612","813,911 (87.0%)"
Seed mass,"61,548","39,187 (63.7%)","932,520","810,023 (86.9%)"
Seed number,"51,567","34,063 (66.1%)","934,358","812,032 (86.9%)"
Stem conduit density,"52,698","34,539 (65.5%)","931,116","805,450 (86.5%)"
Stem conduit diameter,"53,491","34,893 (65.2%)","926,438","801,594 (86.5%)"
Stem diameter,"54,446","35,175 (64.6%)","918,142","794,485 (86.5%)"
Wood fiber lengths,"52,222","34,543 (66.1%)","925,953","803,688 (86.8%)"
Wood ray density,"53,411","35,054 (65.6%)","932,862","806,657 (86.5%)"
