trait_id,resolution,pearsonr
X1080,222km,0.1826810792772935
X13,222km,0.3211421077710476
X138,222km,0.3530242148660981
X14,222km,0.4353327638592378
X144,222km,0.6228900433367536
X145,222km,0.6669723299496411
X146,222km,0.4420666289809423
X15,222km,0.6431676344920423
X163,222km,0.7021303440656133
X169,222km,0.7403931752210346
X21,222km,0.4380724324251441
X223,222km,0.2747810471659995
X224,222km,0.2059954227482369
X237,222km,0.4595973672116537
X26,222km,0.6068189217143908
X27,222km,0.5926633799448823
X281,222km,0.7614069971850111
X282,222km,0.3159460027509284
X289,222km,0.1790720470252731
X297,222km,0.2145072041985501
X3106,222km,0.4182482265466256
X3107,222km,0.4328230001479766
X3112,222km,0.722629048554613
X3113,222km,0.7157062622987316
X3114,222km,0.7274368503372266
X3117,222km,0.4286686565013015
X3120,222km,0.2891159458397579
X351,222km,0.3399410815895233
X4,222km,0.5119177931514572
X46,222km,0.3273499175195732
X47,222km,0.2658459031100291
X50,222km,0.5373191222968643
X55,222km,0.6838470312551377
X6,222km,0.5507738456980514
X614,222km,0.4065143816750832
X78,222km,0.624542788910666
X95,222km,0.328894238383193
X1080,111km,0.1271800585618187
X13,111km,0.328473697554586
X138,111km,0.2904728189868061
X14,111km,0.4444968201929298
X144,111km,0.560697569406603
X145,111km,0.6281919335518797
X146,111km,0.4483657688330252
X15,111km,0.6432568732284722
X163,111km,0.6398999004704344
X169,111km,0.6917053286336659
X21,111km,0.3524805730085044
X223,111km,0.2391636333910924
X224,111km,0.1817587524024792
X237,111km,0.3603997264983934
X26,111km,0.5417334960687007
X27,111km,0.5194270888857231
X281,111km,0.7051240019274444
X282,111km,0.2909104884363044
X289,111km,0.1609663235435299
X297,111km,0.1701689731267214
X3106,111km,0.3336101959948931
X3107,111km,0.347418941763148
X3112,111km,0.6904581675728035
X3113,111km,0.6861004669214166
X3114,111km,0.6950587350945644
X3117,111km,0.4178705146549756
X3120,111km,0.2791462990463012
X351,111km,0.3156565651608172
X4,111km,0.4758229234544143
X46,111km,0.3273380227602835
X47,111km,0.2695907260610329
X50,111km,0.5278651770915274
X55,111km,0.62870273772333
X6,111km,0.477795196621704
X614,111km,0.3572126537692359
X78,111km,0.5746467847613257
X95,111km,0.3089074771361844
X1080,55km,0.108788463457027
X13,55km,0.2966652823604076
X138,55km,0.2288974527158764
X14,55km,0.4333294435404858
X144,55km,0.4936563120434026
X145,55km,0.5605787723895803
X146,55km,0.424409961084771
X15,55km,0.6113082506260359
X163,55km,0.5625497949077553
X169,55km,0.6342570267553944
X21,55km,0.277368617054042
X223,55km,0.1806242088703926
X224,55km,0.1387543419989151
X237,55km,0.2801053336958963
X26,55km,0.4645515521493342
X27,55km,0.4368842451808831
X281,55km,0.6312495665050314
X282,55km,0.2751881312583508
X289,55km,0.1322596022863761
X297,55km,0.1251534556305076
X3106,55km,0.2636631773283948
X3107,55km,0.2770513961602343
X3112,55km,0.6308556536046266
X3113,55km,0.6324736472743168
X3114,55km,0.6366992464933898
X3117,55km,0.4074771722276741
X3120,55km,0.2742083692511738
X351,55km,0.3122772688725113
X4,55km,0.4449753498891464
X46,55km,0.3114203727423857
X47,55km,0.2662387849415897
X50,55km,0.488369607764789
X55,55km,0.5501045781358956
X6,55km,0.4029126091848424
X614,55km,0.2986913765586895
X78,55km,0.5284195649718552
X95,55km,0.2851936792030141
X1080,22km,0.1083142108558093
X13,22km,0.2663017892105296
X138,22km,0.178617376924386
X14,22km,0.4169372572203051
X144,22km,0.412959316004549
X145,22km,0.4785174611605741
X146,22km,0.4069582549767275
X15,22km,0.5499611482921313
X163,22km,0.4756319579188994
X169,22km,0.5148623295546452
X21,22km,0.2208622858895573
X223,22km,0.169046255732228
X224,22km,0.1356551892825646
X237,22km,0.1976850601063606
X26,22km,0.3539755128670589
X27,22km,0.307287511149291
X281,22km,0.5283947505789516
X282,22km,0.2860481495239789
X289,22km,0.1628832423213282
X297,22km,0.0797719863869329
X3106,22km,0.2011051779698127
X3107,22km,0.2093422475449766
X3112,22km,0.5568129885124885
X3113,22km,0.559758658992918
X3114,22km,0.5680947934763282
X3117,22km,0.448627752262374
X3120,22km,0.2763703123141238
X351,22km,0.2898762333375007
X4,22km,0.4129693156706917
X46,22km,0.3425468184367162
X47,22km,0.2825071396824852
X50,22km,0.5001844136917549
X55,22km,0.4455549594832588
X6,22km,0.3486446227602059
X614,22km,0.2368261564956662
X78,22km,0.4385827259879306
X95,22km,0.2469320005569319
X1080,1km,0.278872076535459
X13,1km,0.4352811075207907
X138,1km,0.2268142049935947
X14,1km,0.4429842816946878
X144,1km,0.3939865197443564
X145,1km,0.3763155277811822
X146,1km,0.4627161629050219
X15,1km,0.5063474363108522
X163,1km,0.3439415836666822
X169,1km,0.3696062729046225
X21,1km,0.3294390548623168
X223,1km,0.2249179811568501
X224,1km,0.1967308189832414
X237,1km,0.2604259389564205
X26,1km,0.3729805575582647
X27,1km,0.2805788128602285
X281,1km,0.3898033187261969
X282,1km,0.2461191906565054
X289,1km,0.1981069006533833
X297,1km,0.1815824006796192
X3106,1km,0.3112429926628905
X3107,1km,0.2948326197075081
X3112,1km,0.4324193227192086
X3113,1km,0.4401978715406032
X3114,1km,0.4696135104304814
X3117,1km,0.484956589345181
X3120,1km,0.2876033188290322
X351,1km,0.2870929518585247
X4,1km,0.4628540854750446
X46,1km,0.3728909325500937
X47,1km,0.3321161004588867
X50,1km,0.4085800647248018
X55,1km,0.3668033618177992
X6,1km,0.2728838587060003
X614,1km,0.3371630644607752
X78,1km,0.4632917122536141
X95,1km,0.1935676095265039
